Name	Set	Imagefile	card_type
A Cold Day in Hell	Premiere	A_Cold_Day_in_Hell.jpg	Asset
A-63 All Purpose Robots	Premiere	A-63_All_Purpose_Robots.jpg	Field Unit
A-64 Master Robots	Premiere	A-64_Master_Robots.jpg	Field Unit
AA-10 Bottweilers	Premiere	AA-10_Bottweilers.jpg	Field Unit
AA-50 Insectons	Premiere	AA-50_Insectons.jpg	Field Unit
Aberdeen Proving Grounds	Premiere	Aberdeen_Proving_Grounds.jpg	Base Unit
AC-29 Air Castle Bombers	Premiere	AC-29_Air_Castle_Bombers.jpg	Field Unit
Aerial Attack	Premiere	Aerial_Attack.jpg	Event
Alistair Dunscon	Premiere	Alistair_Dunscon.jpg	Base Unit
All Bases Covered	Premiere	All_Bases_Covered.jpg	Event
Alliance of Science	Premiere	Alliance_of_Science.jpg	Asset
Alliance of Sorcery	Premiere	Alliance_of_Sorcery.jpg	Asset
Ambush	Premiere	Ambush.jpg	Event
Apprentice	Premiere	Apprentice.jpg	Asset
A.R.C.H.I.E. 3-OZ	Premiere	A.R.C.H.I.E._3-OZ.jpg	Base Unit
Arl Xzzyni	Premiere	Arl_Xzzyni.jpg	Base Unit
Armor of Ithan	Premiere	Armor_of_Ithan.jpg	Asset
Army Recce	Premiere	Army_Recce.jpg	Field Unit
Artillery Barrage	Premiere	Artillery_Barrage.jpg	Asset
Aurelor the Magnificent	Premiere	Aurelor_the_Magnificent.jpg	Field Unit
Basal Daemonix	Premiere	Basal_Daemonix.jpg	Base Unit
Battle Magi	Premiere	Battle_Magi.jpg	Field Unit
Bigger Guns	Premiere	Bigger_Guns.jpg	Asset
Bio-Regeneration	Premiere	Bio-Regeneration.jpg	Asset
Black Lightning Helicopters	Premiere	Black_Lightning_Helicopters.jpg	Field Unit
Black Market	Premiere	Black_Market.jpg	Asset
Bloodmist	Premiere	Bloodmist.jpg	Base Unit
Bodyguards	Premiere	Bodyguards.jpg	Asset
Booby Trap	Premiere	Booby_Trap.jpg	Event
Bountiful Resources	Premiere	Bountiful_Resources.jpg	Asset
Brains Over Brawn	Premiere	Brains_Over_Brawn.jpg	Asset
Brethan D'zir	Premiere	Brethan_D'zir.jpg	Base Unit
